County Name	Day of Report Date	New Cases	New Death	Total Cases	Total Death	Total_Cases_Count	Total_Death_Count
Carson City	1.Oca.22	0	0	9760	180	9760	180
Carson City	2.Oca.22	0	0	9760	180	9760	180
Carson City	3.Oca.22	23	3	9783	183	9783	183
Carson City	4.Oca.22	70	0	9853	183	9853	183
Carson City	5.Oca.22	29	0	9882	183	9882	183
Carson City	6.Oca.22	70	1	9952	184	9952	184
Carson City	7.Oca.22	86	0	10038	184	10038	184
Carson City	8.Oca.22	0	0	10038	184	10038	184
Carson City	9.Oca.22	0	0	10038	184	10038	184
Carson City	10.Oca.22	156	0	10194	184	10194	184
Carson City	11.Oca.22	261	1	10455	185	10455	185
Carson City	12.Oca.22	75	0	10530	185	10530	185
Carson City	13.Oca.22	193	0	10723	185	10723	185
Carson City	14.Oca.22	168	3	10891	188	10891	188
Carson City	15.Oca.22	0	0	10891	188	10891	188
Carson City	16.Oca.22	0	0	10891	188	10891	188
Carson City	17.Oca.22	0	0	10891	188	10891	188
Carson City	18.Oca.22	175	0	11066	188	11066	188
Carson City	19.Oca.22	518	0	11584	188	11584	188
Carson City	20.Oca.22	172	0	11756	188	11756	188
Carson City	21.Oca.22	261	0	12017	188	12017	188
Carson City	22.Oca.22	0	0	12017	188	12017	188
Carson City	23.Oca.22	0	0	12017	188	12017	188
Carson City	24.Oca.22	500	0	12517	188	12517	188
Carson City	25.Oca.22	39	0	12556	188	12556	188
Carson City	26.Oca.22	334	0	12890	188	12890	188
Carson City	27.Oca.22	192	0	13082	188	13082	188
Carson City	28.Oca.22	200	1	13282	189	13282	189
Carson City	29.Oca.22	0	0	13282	189	13282	189
Carson City	30.Oca.22	0	0	13282	189	13282	189
Carson City	31.Oca.22	146	0	13428	189	13428	189
Carson City	1.Þub.22	236	0	13664	189	13664	189
Carson City	2.Þub.22	38	0	13702	189	13702	189
Carson City	3.Þub.22	106	0	13808	189	13808	189
Carson City	4.Þub.22	109	2	13917	191	13917	191
Carson City	5.Þub.22	0	0	13917	191	13917	191
Carson City	6.Þub.22	0	0	13917	191	13917	191
Carson City	7.Þub.22	0	0	13917	191	13917	191
Carson City	8.Þub.22	136	1	14053	192	14053	192
Carson City	9.Þub.22	82	1	14135	193	14135	193
Carson City	10.Þub.22	30	1	14165	194	14165	194
Carson City	11.Þub.22	24	1	14189	195	14189	195
Carson City	12.Þub.22	0	0	14189	195	14189	195
Carson City	13.Þub.22	0	0	14189	195	14189	195
Carson City	14.Þub.22	47	0	14236	195	14236	195
Carson City	15.Þub.22	56	0	14292	195	14292	195
Carson City	16.Þub.22	9	1	14301	196	14301	196
Carson City	17.Þub.22	31	0	14332	196	14332	196
Carson City	18.Þub.22	0	0	14332	196	14332	196
Carson City	19.Þub.22	0	0	14332	196	14332	196
Carson City	20.Þub.22	0	0	14332	196	14332	196
Carson City	21.Þub.22	0	0	14332	196	14332	196
Carson City	22.Þub.22	0	0	14332	196	14332	196
Carson City	23.Þub.22	1	0	14333	196	14333	196
Carson City	24.Þub.22	71	0	14404	196	14404	196
Carson City	25.Þub.22	13	1	14417	197	14417	197
Carson City	26.Þub.22	0	0	14417	197	14417	197
Carson City	27.Þub.22	0	0	14417	197	14417	197
Carson City	28.Þub.22	2	4	14419	201	14419	201
Carson City	1.Mar.22	19	1	14438	202	14438	202
Carson City	2.Mar.22	12	1	14450	203	14450	203
Carson City	3.Mar.22	6	0	14456	203	14456	203
Carson City	4.Mar.22	7	1	14463	204	14463	204
Carson City	5.Mar.22	0	0	14463	204	14463	204
Carson City	6.Mar.22	0	0	14463	204	14463	204
Carson City	7.Mar.22	2	0	14465	204	14465	204
Carson City	8.Mar.22	5	0	14470	204	14470	204
Carson City	9.Mar.22	0	2	14470	206	14470	206
Carson City	10.Mar.22	8	0	14478	206	14478	206
Carson City	11.Mar.22	2	3	14480	209	14480	209
Carson City	12.Mar.22	0	0	14480	209	14480	209
Carson City	13.Mar.22	0	0	14480	209	14480	209
Carson City	14.Mar.22	0	0	14480	209	14480	209
Carson City	15.Mar.22	0	0	14480	209	14480	209
Carson City	16.Mar.22	213	3	14693	212	14693	212
Carson City	17.Mar.22	0	0	14693	212	14693	212
Carson City	18.Mar.22	0	0	14693	212	14693	212
Carson City	19.Mar.22	0	0	14693	212	14693	212
Carson City	20.Mar.22	0	0	14693	212	14693	212
Carson City	21.Mar.22	0	0	14693	212	14693	212
Carson City	22.Mar.22	0	0	14693	212	14693	212
Carson City	23.Mar.22	85	1	14778	213	14778	213
Carson City	24.Mar.22	0	0	14778	213	14778	213
Carson City	25.Mar.22	0	0	14778	213	14778	213
Carson City	26.Mar.22	0	0	14778	213	14778	213
Carson City	27.Mar.22	0	0	14778	213	14778	213
Carson City	28.Mar.22	0	0	14778	213	14778	213
Carson City	29.Mar.22	0	0	14778	213	14778	213
Carson City	30.Mar.22	58	1	14836	214	14836	214
Carson City	31.Mar.22	0	0	14836	214	14836	214
Carson City	1.Nis.22	0	0	14836	214	14836	214
Carson City	2.Nis.22	0	0	14836	214	14836	214
Carson City	3.Nis.22	0	0	14836	214	14836	214
Carson City	4.Nis.22	0	0	14836	214	14836	214
Carson City	5.Nis.22	0	0	14836	214	14836	214
Carson City	6.Nis.22	50	2	14886	216	14886	216
Carson City	7.Nis.22	0	0	14886	216	14886	216
Carson City	8.Nis.22	0	0	14886	216	14886	216
Carson City	9.Nis.22	0	0	14886	216	14886	216
Carson City	10.Nis.22	0	0	14886	216	14886	216
Carson City	11.Nis.22	0	0	14886	216	14886	216
Carson City	12.Nis.22	0	0	14886	216	14886	216
Carson City	13.Nis.22	36	0	14922	216	14922	216
Carson City	14.Nis.22	0	0	14922	216	14922	216
Carson City	15.Nis.22	0	0	14922	216	14922	216
Carson City	16.Nis.22	0	0	14922	216	14922	216
Carson City	17.Nis.22	0	0	14922	216	14922	216
Carson City	18.Nis.22	0	0	14922	216	14922	216
Carson City	19.Nis.22	0	0	14922	216	14922	216
Carson City	20.Nis.22	20	1	14942	217	14942	217
Carson City	21.Nis.22	0	0	14942	217	14942	217
Carson City	22.Nis.22	0	0	14942	217	14942	217
Carson City	23.Nis.22	0	0	14942	217	14942	217
Carson City	24.Nis.22	0	0	14942	217	14942	217
Carson City	25.Nis.22	0	0	14942	217	14942	217
Carson City	26.Nis.22	0	0	14942	217	14942	217
Carson City	27.Nis.22	30	0	14972	217	14972	217
Carson City	28.Nis.22	0	0	14972	217	14972	217
Carson City	29.Nis.22	0	0	14972	217	14972	217
Churchill	1.Oca.22	0	0	4463	92	4463	92
Churchill	2.Oca.22	0	0	4463	92	4463	92
Churchill	3.Oca.22	12	0	4475	92	4475	92
Churchill	4.Oca.22	41	0	4516	92	4516	92
Churchill	5.Oca.22	10	0	4526	92	4526	92
Churchill	6.Oca.22	18	0	4544	92	4544	92
Churchill	7.Oca.22	25	0	4569	92	4569	92
Churchill	8.Oca.22	0	0	4569	92	4569	92
Churchill	9.Oca.22	0	0	4569	92	4569	92
Churchill	10.Oca.22	39	0	4608	92	4608	92
Churchill	11.Oca.22	63	0	4671	92	4671	92
Churchill	12.Oca.22	9	0	4680	92	4680	92
Churchill	13.Oca.22	21	0	4701	92	4701	92
Churchill	14.Oca.22	103	0	4804	92	4804	92
Churchill	15.Oca.22	0	0	4804	92	4804	92
Churchill	16.Oca.22	0	0	4804	92	4804	92
Churchill	17.Oca.22	0	0	4804	92	4804	92
Churchill	18.Oca.22	143	0	4947	92	4947	92
Churchill	19.Oca.22	18	0	4965	92	4965	92
Churchill	20.Oca.22	101	0	5066	92	5066	92
Churchill	21.Oca.22	72	0	5138	92	5138	92
Churchill	22.Oca.22	0	0	5138	92	5138	92
Churchill	23.Oca.22	0	0	5138	92	5138	92
Churchill	24.Oca.22	200	0	5338	92	5338	92
Churchill	25.Oca.22	129	0	5467	92	5467	92
Churchill	26.Oca.22	81	0	5548	92	5548	92
Churchill	27.Oca.22	115	1	5663	93	5663	93
Churchill	28.Oca.22	90	0	5753	93	5753	93
Churchill	29.Oca.22	0	0	5753	93	5753	93
Churchill	30.Oca.22	0	0	5753	93	5753	93
Churchill	31.Oca.22	99	0	5852	93	5852	93
Churchill	1.Þub.22	21	0	5873	93	5873	93
Churchill	2.Þub.22	34	0	5907	93	5907	93
Churchill	3.Þub.22	80	2	5987	95	5987	95
Churchill	4.Þub.22	44	0	6031	95	6031	95
Churchill	5.Þub.22	0	0	6031	95	6031	95
Churchill	6.Þub.22	0	0	6031	95	6031	95
Churchill	7.Þub.22	84	2	6115	97	6115	97
Churchill	8.Þub.22	23	0	6138	97	6138	97
Churchill	9.Þub.22	48	0	6186	97	6186	97
Churchill	10.Þub.22	35	0	6221	97	6221	97
Churchill	11.Þub.22	33	1	6254	98	6254	98
Churchill	12.Þub.22	0	0	6254	98	6254	98
Churchill	13.Þub.22	0	0	6254	98	6254	98
Churchill	14.Þub.22	60	0	6314	98	6314	98
